Title: People who said they had an ‘Other White’ ethnicity were most likely to be an employee ,,,,
,,,,
Notes,"1. ""Asian Welsh"" and ""Black Welsh"" ethnic groups were included on the census questionnaire in Wales only, these categories were new for 2021.",,,
,"2. Percentages have been calculated out of the overall population of this ethnic group, using rounded data as such totals may not add to 100%",,,
,3. The population base for these percentages are usual residents aged between 16 to 64 years old only. This is to focus on ethnic groups differences among the working age. Population counts in these tables may be different from other publications which use different age breakdowns,,,
,,,,
Unit ,Percentage,,,
Source: Office for National Statistics – Census 2021,,,,
,,,,
,,,,
Ethnic group ,Percent Economically active: In Employment: Employee ,Percent Economically Active: In Employment: Self Employed ,Percent Economically Active: Unemployed ,Percent Economically inactive 
"Asian, Asian British or Asian Welsh: Bangladeshi",43,9,7,42
"Asian, Asian British or Asian Welsh: Chinese",47,9,4,40
"Asian, Asian British or Asian Welsh: Indian",61,10,5,23
"Asian, Asian British or Asian Welsh: Other Asian",54,10,5,32
"Asian, Asian British or Asian Welsh: Pakistani",41,12,6,41
"Black, Black British, Black Welsh, Caribbean or African: African",53,9,9,30
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",57,8,8,26
"Black, Black British, Black Welsh, Caribbean or African: Other Black",48,8,9,35
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,53,11,7,29
Mixed or Multiple ethnic groups: White and Asian,54,10,6,31
Mixed or Multiple ethnic groups: White and Black African,51,9,9,32
Mixed or Multiple ethnic groups: White and Black Caribbean,52,8,9,31
"White: English, Welsh, Scottish, Northern Irish or British",62,11,4,23
White: Gypsy or Irish Traveller,26,15,6,53
White: Irish,62,13,4,21
White: Other White,63,16,5,17
White: Roma,54,17,6,22
Other ethnic group: Arab,36,9,8,48
Other ethnic group: Any other ethnic group,48,13,6,33
England and Wales Overall ,60,11,4,25
